192,Enginyeria de Sistemes TIC (àmbit d'Informàtica i Comunicacions)
193,Enginyeria de Sistemes de Telecomunicació / Enginyeria Electrònica de Telecomunicació (agrupació)
194,Enginyeria de Sistemes de Telecomunicació / Enginyeria Informàtica (simultaneïtat)
195,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica (inclou xarxes i Internet) (agrupació)
196,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica (inclou xarxes i Internet) (febrer) (agrupació)
197,Enginyeria de Sistemes i Serveis de Telecomunicacions
198,Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació)
199,Enginyeria de Tecnologies i Serveis de Telecomunicació
200,Enginyeria de Tecnologies i Serveis de Telecomunicació Grau en + Màster Universitari en Enginyeria de Telecomunicació (PARS: Enginyer/a de Telecomunicació)
201,Enginyeria de Xarxes de Telecomunicació
202,Enginyeria de l'Automoció
203,Enginyeria de l'Energia
204,Enginyeria de l'Energia i Sostenibilitat / Enginyeria Mecànica (simultaneïtat)
205,Enginyeria de l'Energia i Sostenibilitat / Enginyeria en Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació)
206,Enginyeria de l'Energia i Sostenibilitat / Enginyeria en Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació) Grau en + Màster Universitari en Enginyeria Industrial (PARS: Enginyer/a Industrial)
207,Enginyeria de l'Energia i Sostenibilitat Enginyeria en Electrònica Industrial i Automàtica Enginyeria Mecànica (agrupació) Grau en + Màster Universitari en Enginyeria Industrial (PARS: Enginyer/a Industrial)
208,Enginyeria en Energies Renovables i Eficiència Energètica "EU Salesiana de Sarrià"
209,Enginyeria en Geoinformació i Geomàtica
210,Enginyeria en Informàtica
211,Enginyeria en Organització Industrial "EU Salesiana de Sarrià"
212,Enginyeria en Organització Industrial i Logística / Enginyeria Química (agrupació)
213,Enginyeria en Sistemes Audiovisuals
214,Enginyeria en Sistemes i Tecnologia Naval
215,Enginyeria en Tecnologies Aeroespacials Grau en + Màster Universitari en Enginyeria Aeronàutica (PARS: Enginyer/a Aeronàutic/a)
216,Enginyeria en Tecnologies Industrials
217,Enginyeria en Tecnologies Industrials Grau en + Màster Universitari en Enginyeria Industrial (PARS: Enginyer/a Industrial)
218,Enginyeria en Vehicles Aeroespacials
219,Enologia
220,Estadística
221,Estadística Aplicada
222,Estadística Aplicada / Sociologia (simultaneïtat)
223,Estudis Anglesos
224,Estudis Anglesos (docència en Anglès)
225,Estudis Anglesos / Llengües Aplicades i Traducció (simultaneïtat)
226,Estudis Globals
227,Estudis Globals (Només per a estudiants amb uns estudis de batxillerat o equivalent que NO pertanyin a sistemes educatius de la Unió Europea ni d'altres estats amb acords de reciprocitats)
228,Estudis Globals / Global Studies (docència en Anglès)
229,Estudis Globals / Global Studies (docència en Anglès) / Turisme (simultaneïtat)
230,Estudis Internacionals d'Economia i Empresa - International Business Economics (docència en Anglès)
231,Estudis Literaris
232,Estudis Socioculturals de Gènere
233,Estudis d'Anglès i Català
234,Estudis d'Anglès i Espanyol
235,Estudis d'Anglès i Francès
236,Estudis d'Anglès i de Clàssiques
237,Estudis d'Espanyol i Xinès: Llengua Literatura i Cultura
238,Estudis d'Àsia Oriental -Japonès-
239,Estudis d'Àsia Oriental -Xinès-
240,Estudis de Català i Espanyol
241,Estudis Àrabs i Hebreus
242,Farmàcia
243,Farmàcia / Nutrició Humana i Dietètica (simultaneïtat)
244,Filologia Catalana
245,Filologia Catalana / Filologia Hispànica (simultaneïtat)
246,Filologia Catalana i Estudis Occitans
247,Filologia Catalana i Estudis Occitans / Llengües Aplicades i Traducció (simultaneïtat)
248,Filologia Catalana: Estudis de Literatura i Lingüística
249,Filologia Clàssica
250,Filologia Hispànica
251,Filologia Hispànica / Llengües Aplicades i Traducció (simultaneïtat)
252,Filosofia
253,Filosofia Política i Economia
254,Finances i Comptabilitat
255,Fisioteràpia
256,Fisioteràpia "EUSES"
257,Fisioteràpia "Gimbernat"
258,Fisioteràpia "Tecnocampus"
259,Fisioteràpia (Campus Manresa)
260,Fisioteràpia (docència en Anglès) (només per a estudiants espanyols o estrangers amb residència)
261,Fisioteràpia (docència en Anglès) (només per a estudiants sense nacionalitat espanyola ni residència a l'Estat Espanyol)
262,Fisioteràpia / Infermeria (simultaneïtat)
263,Fisioteràpia / Nutrició Humana i Dietètica (simultaneïtat)
264,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Administració d'Empreses (semipresencial)
265,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (docència en anglès) (semipresencial)
266,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (presencial)
267,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (semipresencial)
268,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (virtual)
269,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Biologia - Geologia (presencial)
270,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Biologia - Geologia (semipresencial)
271,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Economia (semipresencial)
272,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Educació Física (semipresencial)
273,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Formació i Orientació Laboral (virtual)
274,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Francès (presencial)
275,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Física - Química (presencial)
276,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Física - Química (semipresencial)
277,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Geografia - Història (presencial)
278,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Geografia - Història (semipresencial)
279,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Llengua i Literatura Castellana (presencial)
280,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Llengua i Literatura Castellana (semipresencial)
281,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Llengua i Literatura Castellana (virtual)
282,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Llengua i Literatura Catalana (presencial)
283,Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat Formació Professional i Ensenyament d'Idiomes - Especialitat en Llengua i Literatura Catalana (semipresencial)
