
Subclases;15881;Elaboració de preparats per a l'alimentació infantil;
Subclases;15882;Elaboració d'altres preparats dietètics;
Clases;1589;Elaboració d'altres productes alimentaris;
Subclases;15890;Elaboració d'altres productes alimentaris;
Grupos;159;Elaboració de begudes;
Clases;1591;Destil·lació de begudes alcohòliques;
Subclases;15911;Obtenció d'aiguardents naturals;
Subclases;15912;Obtenció d'altres begudes alcohòliques destil·lades;
Clases;1592;Destil·lació d'alcohol etílic procedent de fermentació;
Subclases;15920;Destil·lació d'alcohol etílic procedent de fermentació;
Clases;1593;Elaboració de vins;
Subclases;15931;Elaboració de caves i vins escumosos naturals;
Subclases;15932;Elaboració i criança de vins;
Clases;1594;Elaboració de sidra i altres begudes fermentades a partir de fruites;
Subclases;15940;Elaboració de sidra i altres begudes fermentades a partir de fruites;
Clases;1595;Elaboració d'altres begudes no destil·lades, procedents de fermentació;
Subclases;15950;Elaboració d'altres begudes no destil·lades, procedents de fermentació;
Clases;1596;Fabricació de cervesa;
Subclases;15960;Fabricació de cervesa;
Clases;1597;Fabricació de malt;
Subclases;15970;Fabricació de malt;
Clases;1598;Producció d'aigües minerals i de begudes analcohòliques;
Subclases;15981;Envasament d'aigua mineral natural, de font i potable preparada;
Subclases;15982;Producció de begudes refrescants sense alcohol;
Divisiones;16;Indústries del tabac;
Grupos;160;Indústries del tabac;
Clases;1600;Indústries del tabac;
Subclases;16000;Indústries del tabac;
Subsecciones;DB;INDÚSTRIES TÈXTILS I DE LA CONFECCIÓ;
Divisiones;17;Indústries tèxtils;
Grupos;171;Preparació i filatura de fibres tèxtils;
Clases;1711;Preparació i filatura de fibres de cotó i les seves mescles;
Subclases;17110;Preparació i filatura de fibres de cotó i les seves mescles;
Clases;1712;Preparació i filatura de fibres de llana cardada i les seves mescles;
Subclases;17120;Preparació i filatura de fibres de llana cardada i les seves mescles;
Clases;1713;Preparació i filatura de fibres de llana pentinada i les seves mescles;
Subclases;17130;Preparació i filatura de fibres de llana pentinada i les seves mescles;
Clases;1714;Preparació i filatura de fibres de lli i les seves mescles;
Subclases;17140;Preparació i filatura de fibres de lli i les seves mescles;
Clases;1715;"Retorciment i preparació de la seda; retorciment i texturació de filaments sintètics i artificials";
Subclases;17150;"Retorciment i preparació de la seda; retorciment i texturació de filaments sintètics i artificials";
Clases;1716;Fabricació de fil de cosir;
Subclases;17160;Fabricació de fil de cosir;
Clases;1717;Preparació i filatura d'altres fibres tèxtils;
Subclases;17170;Preparació i filatura d'altres fibres tèxtils;
Grupos;172;Fabricació de teixits tèxtils;
Clases;1721;Fabricació de teixits de cotó i les seves mescles;
Subclases;17210;Fabricació de teixits de cotó i les seves mescles;
Clases;1722;Fabricació de teixits de llana cardada i les seves mescles;
Subclases;17220;Fabricació de teixits de llana cardada i les seves mescles;
Clases;1723;Fabricació de teixits de llana pentinada i les seves mescles;
