290,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Educació Física
291,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Filosofia
292,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Física - Química
293,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Formació i Orientació Laboral
294,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Francès
295,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Geografia - Història
296,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Llatí - Grec / Cultura Clàssica (agrupació d'especialitats)
297,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Llengua i Literatura Castellana
298,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Llengua i Literatura Catalana
299,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Llengües Estrangeres (Francès Alemany i Italià)
300,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Matemàtiques
301,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Música
302,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Orientació Educativa
303,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Serveis
304,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Tecnologia
305,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Tecnologia / Tecnologies Industrials (agrupació d'especialitats)
306,Professorat d'ESO i Batx FP i d'Idiomes - Especialitat en Tecnologies Industrials
307,Psicologia
308,Publicitat i Relacions Públiques
309,Publicitat Relacions Públiques i Màrqueting
310,Química
311,Relacions Internacionals
312,Relacions Laborals
313,Relacions Laborals i Recursos Humans
314,Seguretat
315,Sociologia
316,Tecnologies Industrials amb Anàlisi Econòmica Grau en + Màster Universitari en Enginyeria Industrial
317,Tecnologies Marines
318,Teràpia Ocupacional
319,Traducció i Interpretació
320,Treball Social
321,Turisme
322,Turisme / Geografia Territori i Medi Ambient
323,Turisme / Màrqueting
324,Turisme / Publicitat i Relacions Públiques
325,Veterinària
