"Codi","Nom","Codi comarca"
"170216","Beuda","19"
"080288","Cabrera d'Anoia","06"
"080930","Gisclareny","14"
"080543","Castellbisbal","40"
"251121","Ivars de Noguera","23"
"080517","Castellar del Vallès","40"
"251001","Gósol","14"
"252206","Térmens","23"
"172082","Vall de Bianya, la","19"
"080142","Aiguafreda","41"
"080446","Capellades","06"
"430727","Lloar, el","29"
"082649","Sant Vicenç de Montalt","21"
"259031","Guingueta d'Àneu, la","26"
"081574","Pallejà","11"
"081379","Montseny","41"
"082763","Tagamanent","41"
"082541","Esquirol, l'","24"
"080348","Calders","42"
"172240","Vilallonga de Ter","31"
"431188","Pratdip","08"
"080790","Estany, l'","42"
"171349","Planoles","31"
"081653","Pobla de Claramunt, la","06"
"250740","Ciutadilla","38"
"080351","Calella","21"
"171411","Puigcerdà","15"
"082845","Tordera","21"
"431037","Perafort","36"
"080692","Collbató","11"
"430555","Falset","29"
"082129","Sant Feliu Sasserra","07"
"171714","Sant Llorenç de la Muga","02"
"082037","Sant Cebrià de Vallalta","21"
"251569","Os de Balaguer","23"
"171181","Palamós","10"
"171002","Masarac i Vilarnadal","02"
"080734","Cornellà de Llobregat","11"
"083067","Vilalba Sasserra","41"
"080121","Avinyó","07"
"081167","Masies de Roda, les","24"
"431763","Vimbodí i Poblet","16"
"170852","Jafre","10"
"170329","Cadaqués","02"
"172018","Toses","31"
"431628","Vandellòs i l'Hospitalet de l'Infant","08"
"431726","Vilaverd","16"
"250432","Vall de Boí, la","05"
"171447","Regencós","10"
"170031","Albanyà","02"
"080556","Castellcir","42"
"172253","Vilamacolum","02"
"172039","Ultramort","10"
"172207","Viladrau","24"
"080765","Esparreguera","11"
"430038","Albiol, l'","08"
"089024","Vilanova del Vallès","41"
"171539","Rupià","10"
"082495","Santa Fe del Penedès","03"
"250100","Alcanó","33"
"251193","Juneda","18"
"430311","Borges del Camp, les","08"
"251305","Maldà","38"
"082107","Sant Feliu de Codines","41"
"172229","Vilaür","02"
"431303","Rocafort de Queralt","16"
"171058","Mieres","19"
"170427","Capmany","02"
"082378","Sant Quirze de Besora","24"
"170736","Fornells de la Selva","20"
"250254","Naut Aran","39"
"170849","Isòvol","15"
"081290","Muntanyola","24"
"430901","Montmell, el","12"
"171833","Sant Aniol de Finestres","19"
"080654","Castellví de la Marca","03"
"170433","Queralbs","31"
"431606","Vallmoll","01"
"250241","Alt Àneu","26"
"431567","Ulldecona","22"
"431016","Passanant i Belltall","16"
"170209","Bescanó","20"
"250501","Bellpuig","38"
"430402","Capçanes","29"
"080832","Folgueroles","24"
"430640","Gandesa","37"
"251109","Guissona","32"
"081960","Sant Andreu de la Barca","11"
"082536","Santa Maria de Besora","24"
"171576","Sant Andreu Salou","20"
"170242","Bolvir","15"
"171680","Sant Joan de Mollet","20"
"080272","Cabanyes, les","03"
"172155","Vilablareix","20"
"431264","Riera de Gaià, la","36"
"080060","Arenys de Mar","21"
"430960","Morera de Montsant, la","29"
"250560","Bovera","18"
"430846","Miravet","30"
"081957","Sant Agustí de Lluçanès","24"
"430614","Forès","16"
"430884","Montbrió del Camp","08"
"082362","Sant Quintí de Mediona","03"
"082264","Sant Martí de Tous","06"
"171254","Pardines","31"
"250273","Anglesola","38"
"251214","Les","39"
"430430","Catllar, el","36"
"250485","Bell-lloc d'Urgell","27"
"172142","Vilabertran","02"
"170792","Girona","20"
"431114","Pobla de Montornès, la","36"
"080689","Cervelló","11"
"431423","Sarral","16"
"430574","Febró, la","08"
"252424","Verdú","38"
"171595","Sant Feliu de Buixalleu","34"
"081810","Roca del Vallès, la","41"
"251898","Rosselló","33"
"250637","Canejan","39"
"170813","Gualta","10"
"251399","Montellà i Martinet","15"
"170118","Armentera, l'","02"
"171788","Sant Pere Pescador","02"
"251667","Pinell de Solsonès","35"
"430521","Xerta","09"
"080095","Argentona","21"
"170464","Castellfollit de la Roca","19"
"170307","Cabanes","02"
"081043","Llacuna, la","06"
"171169","Osor","34"
"251425","Montoliu de Lleida","33"
"430635","Galera, la","22"
"251351","Miralcamp","27"
"251575","Ossó de Sió","38"
"251734","Pont de Suert, el","05"
"082444","Santa Coloma de Cervelló","11"
"431732","Vilella Alta, la","29"
"171772","Sant Pau de Segúries","31"
"172333","Vilobí d'Onyar","34"
"082114","Sant Feliu de Llobregat","11"
"431589","Vallclara","16"
"431613","Valls","01"
"251654","Peramola","04"
"082969","Vallromanes","41"
"431233","Reus","08"
"431286","Riudecols","08"
"439039","Camarles","09"
"430542","Espluga de Francolí, l'","16"
"252402","Vallfogona de Balaguer","23"
"430017","Aiguamúrcia","01"
"171194","Palau de Santa Eulàlia","02"
"250236","Alpicat","33"
"250851","Estaràs","32"
"081751","Puig-reig","14"
"252287","Torrefarrera","33"
"081189","Masnou, el","21"
"430483","Corbera d'Ebre","37"
"431665","Vilallonga del Camp","36"
"250693","Castelló de Farfanya","23"
"080240","Borredà","14"
"080706","Collsuspina","42"
"430944","Móra la Nova","30"
"430154","Arbolí","08"
"082830","Tona","24"
"250156","Algerri","23"
"251765","Preixana","38"
"430022","Albinyana","12"
"082861","Torre de Claramunt, la","06"
"999998","No consta","98"
"171544","Sales de Llierca","19"
"082665","Cerdanyola del Vallès","40"
"430580","Figuera, la","29"
"251863","Riner","35"
"170828","Guils de Cerdanya","15"
"171621","Sant Ferriol","19"
"170985","Maià de Montcal","19"
"171371","Porqueres","28"
"251253","Llardecans","33"
